Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Status
bappfol-appalachian-folk-healing-by-jake-richards,Appalachian Folk Healing by Jake Richards,"Ossman & Steel�s Guide to Health or Household Instructor (its original title) is a collection of spells, remedies, and charms. The book draws from the old Pennsylvania Dutch and German powwow healing practices that in turn helped shape Appalachian folk healing, conjure, rootwork, and many folk healing traditions in America. Jake Richards, author of Backwoods Witchcraft and Doctoring the Devil, puts these remedies in context, with practical advice for modern-day �backwoods� healers interested to use them today. A 5.3"" x 8.02"" paperback book with 152 pages.",AzureGreen,Metaphysical Supplies,"Herb & Herbal Books,Voodoo, Hoodoo & Santeria,All Books & Journals,Alchemical Botanicals,Esoteric Manuscripts,The Way to Resonance",TRUE,Title,Default Title,BAPPFOL,181,shopify,15,deny,azuregreen,38.42,,TRUE,TRUE,,https://www.azuregreen.net/images/BAPPFOL.jpg,1,Appalachian Folk Healing by Jake Richards,FALSE,active
bartprash-art-practice-of-spiritual-herbalism-by-karen-m-rose,Art & Practice of Spiritual Herbalism by Karen M Rose,"This guide to harnessing the power of plants is a practical tool for working through the symptoms of body disease and the underlying emotional and spiritual issues. Organized by major body systems such circulatory, digestive, and reproductive, The Art & Practice of Spiritual Herbalism gives a brief overview of the physical mechanisms of the system, the spiritual correspondences associated with that system, and the plants, remedies, and rituals that can be used to bring oneself back to healing and balance. Filled with stories, ancestral recipes, and accessible practices that anyone can use, The Art &amp; Practice of Spiritual Herbalism shows you how to use the power of plants for spiritual and physical healing. A 7.5"" x 9.25"" paperback book with 208 pages.",AzureGreen,Metaphysical Supplies,"Spirituality, Angels, & Spirits,Oils, Herbs, & Plant Magic,Herb & Herbal Books,All Books & Journals,Ritual Tools,Alchemical Botanicals,Esoteric Manuscripts,Alchemical Elixirs,The Way to Resonance",TRUE,Title,Default Title,BARTPRASH,725,shopify,12,deny,azuregreen,61.18,,TRUE,TRUE,,https://www.azuregreen.net/images/BARTPRASH.jpg,1,Art & Practice of Spiritual Herbalism by Karen M Rose,FALSE,active
bbacgar-backyard-garden-witchery-by-laurel-woodward,Backyard Garden Witchery by Laurel Woodward,"Embrace the magick of gardening and grow your own living, breathing sanctuary. Laurel Woodward offers more than eighty spells, recipes, and activities for building, maintaining, and enjoying a biodiverse garden. This book teaches how to build a relationship with the green world while keeping your backyard garden sacred and safe. You'll explore plant energies and land spirits, the care of herb, vegetable, and flower gardens, working with your home's soil and hardiness zone, and much more.",AzureGreen,Metaphysical Supplies,"Oils, Herbs, & Plant Magic,All Books & Journals,Ritual Tools,Alchemical Botanicals,Esoteric Manuscripts,Alchemical Elixirs,The Way to Resonance",TRUE,Title,Default Title,BBACGAR,816,shopify,4,deny,azuregreen,67.98,,TRUE,TRUE,,https://www.azuregreen.net/images/BBACGAR.jpg,1,Backyard Garden Witchery by Laurel Woodward,FALSE,active
bbegguieo-beginner-s-guide-to-essential-oils-by-christina-anthis,Beginner's Guide to Essential Oils by Christina Anthis,"The Beginner's Guide to Essential Oils puts the power of natural healing in your hands. This straightforward essential oils book distills the knowledge you need to unlock the potential of commonly found essential oils. Start making nourishing, all-natural, and affordable remedies to treat a variety of conditions-even make your own skin care and home cleaning products. This essential oils book explores the many modern applications of essential oils, from herbal medicine to aromatherapy to natural beauty. Discover profiles detailing the aromas and therapeutic actions of 30 favorite essential oils. Breathe easy with guidelines for safe use during pregnancy and instructions on diluting formulas for babies and children. You can begin your journey right away with any of the 100 included recipes for health and home. A 7.5 x 9.25 paperback book with 186 pages",AzureGreen,Metaphysical Supplies,"Oils, Herbs, & Plant Magic,Books About Oil,Books for Beginners,All Books & Journals,Ritual Tools,Alchemical Botanicals,Esoteric Manuscripts,Alchemical Elixirs,The Way to Resonance",TRUE,Title,Default Title,BBEGGUIEO,680,shopify,6,deny,azuregreen,38.51,,TRUE,TRUE,,https://www.azuregreen.net/images/BBEGGUIEO.jpg,1,Beginner's Guide to Essential Oils by Christina Anthis,FALSE,active
bblabot-blackthorn-s-botanical-magic-by-amy-blackthorn,Blackthorn's Botanical Magic by Amy Blackthorn,"Here is the first contemporary guide to the transformative powers of essential oils for use in spellcraft and the cultivation of ritual power. From rose-scented rosaries to the lingering aroma of frankincense, and the cleansing energy of white sage, Amy Blackthorn, the woman behind Blackthorn Hoodoo Blends, will take you on a journey beyond the soothing, healing power of scents into their hidden realms and their use in prayer, meditation, and shamanic journeying. One of the very first of its kind, this book includes: The rich history and lore of scent-related magic Over 135 essential oil recipes and craft projects an explanation of how magical aromatherapy can enhance divination with tarot and runes Practical information regarding the purchasing, blending, and storing of essential oils.",AzureGreen,Metaphysical Supplies,"Oils, Herbs, & Plant Magic,Herb & Herbal Books,All Books & Journals,Ritual Tools,Alchemical Botanicals,Esoteric Manuscripts,Alchemical Elixirs,The Way to Resonance",TRUE,Title,Default Title,BBLABOT,725,shopify,9,deny,azuregreen,52.02,,TRUE,TRUE,,https://www.azuregreen.net/images/BBLABOT.jpg,1,Blackthorn's Botanical Magic by Amy Blackthorn,FALSE,active
bblapro-blackthorn-s-protection-magic-by-amy-blackthorn,Blackthorn's Protection Magic by Amy Blackthorn,"Blackthorn's Protection Magic guides readers through the realm of the green witch to a glade filled with options for your protection. Amy Blackthorn discusses spiritual, emotional, and physical security in an easy-to-understand way. The book provides an overview of what protection means to witches and then explores practices in more depth. A 6"" x 8"" paperback book with 208 pages.",AzureGreen,Metaphysical Supplies,"Spellcraft, Witchcraft & Magic,Herb & Herbal Books,All Books & Journals,Protection & Cleansing,Cleansing, Protection & Candle Magic,Ritual Tools,Illuminations,Alchemical Botanicals,Esoteric Manuscripts,The Way to Resonance",TRUE,Title,Default Title,BBLAPRO,272,shopify,11,deny,azuregreen,38.42,,TRUE,TRUE,,https://www.azuregreen.net/images/BBLAPRO.jpg,1,Blackthorn's Protection Magic by Amy Blackthorn,FALSE,active
bblasacp-blackthorn-s-sacred-plant-magic-by-amy-blackthorn,Blackthorn's Sacred Plant Magic by Amy Blackthorn,"Blackthorn�s Botanical Magic showed a new generation of witches how scent affects people, whether they understand it or not. In Blackthorn�s Book of Sacred Plant Magic, we travel even deeper into the magical garden of scent. We know that a walk down a summer street can bring back the smell of childhood summers with friends, riding bikes and swimming. Spring breezes carry with them the clean soapy smell of your second-grade teacher. We experience scents not only in the here and now but also filtered through the lens of our past. Using the power of scent, we can create a sense of the sacred in our daily lives. Part reference guide, part recipe book, and part ritual journey, Blackthorn�s Book of Sacred Plant Magic offers readers an in-depth exploration of the vital connection between scents and magical practice. Paperback book with 272 pages",AzureGreen,Metaphysical Supplies,"Oils, Herbs, & Plant Magic,Herb & Herbal Books,All Books & Journals,Ritual Tools,Alchemical Botanicals,Esoteric Manuscripts,Alchemical Elixirs,The Way to Resonance",TRUE,Title,Default Title,BBLASACP,453,shopify,4,deny,azuregreen,56.55,,TRUE,TRUE,,https://www.azuregreen.net/images/BBLASACP.jpg,1,Blackthorn's Sacred Plant Magic by Amy Blackthorn,FALSE,active
bcomher-compendium-of-herbal-magick-by-paul-beyerl,Compendium of Herbal Magick by Paul Beyerl,"All inclusive, the Compendium of Herbal Magick by Paul Beyerl describes over 330 herbs in over 100 illustrations and information on altars, astral work, clairvoyance, Goddess and Deity worship, and what herbs have what astrological associations.",AzureGreen,Metaphysical Supplies,"Oils, Herbs, & Plant Magic,Herb & Herbal Books,All Books & Journals,Ritual Tools,Alchemical Botanicals,Esoteric Manuscripts,Alchemical Elixirs,The Way to Resonance",TRUE,Title,Default Title,BCOMHER,907,shopify,8,deny,azuregreen,74.69,,TRUE,TRUE,,https://www.azuregreen.net/images/BCOMHER.JPG,1,Compendium of Herbal Magick by Paul Beyerl,FALSE,active
bcominc-complete-book-of-incense-oils-and-brews-by-scott-cunningham,"Complete Book of Incense, Oils and Brews by Scott Cunningham","Containing many recipes for everything from incense to ritual soaps to sachets, The Complete Book of Incense, Oils and Brews by Scott Cunningham even goes so far as to write of what ingredients you can use to substitute when you are lacking others.",AzureGreen,Metaphysical Supplies,"Oils, Herbs, & Plant Magic,Herb & Herbal Books,Books About Oil,All Books & Journals,Ritual Tools,Alchemical Botanicals,Esoteric Manuscripts,Alchemical Elixirs,The Way to Resonance",TRUE,Title,Default Title,BCOMINC,408,shopify,3,deny,azuregreen,43.04,,TRUE,TRUE,,https://www.azuregreen.net/images/BCOMINC.JPG,1,"Complete Book of Incense, Oils and Brews by Scott Cunningham",FALSE,active
bcunencwk-cunningham-s-ency-of-wicca-in-the-kitchen-by-scott-cunningham,Cunningham's Ency. of Wicca in the Kitchen by Scott Cunningham,"There's a reason caviar has a reputation as a love food, but a little vanilla or peppermint can work wonders too! You'll savor mushrooms like never before after experiencing their intuitive-raising effects, and a munch of celery will resonate with new meaning as it boosts your sexual desire and psychic awareness. Virtually any item in your pantry can be used for personal transformation. From artichokes to kidney beans to grape jelly, food contains specific magical energies you can harness for positive results. This encyclopedia of food magic offers twenty-seven of Scott Cunningham's favorite recipes.",AzureGreen,Metaphysical Supplies,"Paganism & Wicca,Oils, Herbs, & Plant Magic,All Books & Journals,Ritual Tools,Alchemical Botanicals,Esoteric Manuscripts,Alchemical Elixirs,The Way to Resonance",TRUE,Title,Default Title,BCUNENCWK,635,shopify,10,deny,azuregreen,49.84,,TRUE,TRUE,,https://www.azuregreen.net/images/BCUNENCWK.jpg,1,Cunningham's Ency. of Wicca in the Kitchen by Scott Cunningham,FALSE,active
