Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Status
b365dayh-365-days-of-hoodoo-by-stephanie-rose-bird,365 Days of Hoodoo by Stephanie Rose Bird,"Hoodoo is a bold spiritual tradition that helps enhance your wellbeing and solve everyday problems. This practical, do-it-yourself guide shows you how to use spells, rites, recipes, mojos, and curios to enrich your life and be ready for whatever comes your way. 365 Days of Hoodoo starts by providing the basics of Hoodoo, and then gradually builds your knowledge day after day. You'll discover the essential components for your practice, how to master the parts of your life that seem out of control, and the various ways Hoodoo can improve love, prosperity, protection, and much more. This impressive book also features lore, prayers, potions, altars, baths, and meditations.",AzureGreen,Metaphysical Supplies,"Voodoo, Hoodoo & Santeria,All Books & Journals,Esoteric Manuscripts,The Way to Resonance",TRUE,Title,Default Title,B365DAYH,589,shopify,25,deny,azuregreen,45.31,,TRUE,TRUE,,https://www.azuregreen.net/images/B365DAYH.jpg,1,365 Days of Hoodoo by Stephanie Rose Bird,FALSE,active
b777oth0ac-777-other-qabalistic-writings-by-aleister-crowley,777 & Other Qabalistic Writings by Aleister Crowley,"777 Other Qabalistic Writings by Aleister Crowley edited and introduced by Dr. Israel Regardie, find within the three texts of Gematria, Sepher Sephiroth, and 777.",AzureGreen,Metaphysical Supplies,"Esoteric & Occult,All Books & Journals,Esoteric Manuscripts,The Way to Resonance",TRUE,Title,Default Title,B777OTH0AC,544,shopify,8,deny,azuregreen,74.69,,TRUE,TRUE,,https://www.azuregreen.net/images/B777OTH.JPG,1,777 & Other Qabalistic Writings by Aleister Crowley,FALSE,active
balecroc-aleister-crowley-collection,Aleister Crowley Collection,"Dive into the mystical world of Aleister Crowley with this exclusive box set featuring five of his most influential works. Perfect for anyone curious about the occult and esoteric traditions, this collection showcases Crowley's unique ideas and practices that have inspired countless seekers of spiritual knowledge. Whether you're a seasoned practitioner or just starting your journey, this set is a must-have for exploring the depths of Crowley's thought and philosophy. Uncover the secrets of the universe and elevate your spiritual practice with these timeless writings.",AzureGreen,Metaphysical Supplies,"Esoteric & Occult,All Books & Journals,Esoteric Manuscripts,The Way to Resonance",TRUE,Title,Default Title,BALECROC,1270,shopify,6,deny,azuregreen,90.64,,TRUE,TRUE,,https://www.azuregreen.net/images/BALECROC.jpg,1,Aleister Crowley Collection,FALSE,active
bangnum-angel-numbers-by-fortuna-noir,Angel Numbers by Fortuna Noir,"If you're seeing repeated or significant number sequences throughout your day, then angels may be sending you advice and encouragement. With this book, you will learn to decode these celestial numerical messages to embody their meaning and use them to enrich our spiritual path. Engage the magic of the divine and maximize your potential with Angel Numbers. A 4.65"" x 5.55"" hardcover book with 160 pages.",AzureGreen,Metaphysical Supplies,"Spirituality, Angels, & Spirits,All Books & Journals,Angels,Esoteric Manuscripts,The Way to Resonance",TRUE,Title,Default Title,BANGNUM,226,shopify,14,deny,azuregreen,29.44,,TRUE,TRUE,,https://www.azuregreen.net/images/BANGNUM.jpg,1,Angel Numbers by Fortuna Noir,FALSE,active
barcinv-archangels-invoke-work-with-angelic-messengers-by-richard-webster,Archangels Invoke & Work with Angelic Messengers by Richard Webster,"As beings of pure light who possess great influence, archangels can help you achieve your goals and develop a closer relationship with the Divine. Drawing from multiple spiritual paths, bestselling author Richard Webster introduces you to the four most-recognized archangels-Michael, Raphael, Gabriel, and Uriel-as well as numerous lesser-known angels who are rarely featured in other books. You will also learn simple meditations and rituals to help you communicate and work with them for protection, guidance, and wisdom. This concise and conversational guide describes the hierarchy of angels and the unique responsibilities for each one. With detailed information on correspondences for each archangel, including crystal, essential oil, element, zodiac sign, and chakra, you'll discover which ones to connect with and how they can support you. Featuring affirmations, invocations, dream work, and more, this book makes it easy to seek angelic assistance and enjoy a life filled with peace, harmony, and divine love. 5.5"" x 8.25"" Paperback book with 280 pages.",AzureGreen,Metaphysical Supplies,"Spirituality, Angels, & Spirits,All Books & Journals,Angels,Protection & Cleansing,Esoteric Manuscripts,The Way to Resonance",TRUE,Title,Default Title,BARCINV,408,shopify,4,deny,azuregreen,38.51,,TRUE,TRUE,,https://www.azuregreen.net/images/BARCINV.jpg,1,Archangels Invoke & Work with Angelic Messengers by Richard Webster,FALSE,active
bartmakm-art-of-making-mojos-by-catherine-yronwode,Art of Making Mojos by Catherine Yronwode,"Within these pages you will find a treasure-trove of accurate, authentic, and easy-to-follow instructions that teach you how to craft and work with Conjure Hands, Trick Bags, Tobies, Gree-Grees, Jomos, Jacks, and Nation Sacks in the hoodoo folk magic tradition. A paperback book with 96 pages.",AzureGreen,Metaphysical Supplies,"Voodoo, Hoodoo & Santeria,All Books & Journals,Esoteric Manuscripts,The Way to Resonance",TRUE,Title,Default Title,BARTMAKM,181,shopify,8,deny,azuregreen,33.89,,TRUE,TRUE,,https://www.azuregreen.net/images/BARTMAKM.jpg,1,Art of Making Mojos by Catherine Yronwode,FALSE,active
bastgui-astrology-guided-workbook,Astrology Guided Workbook,"This step-by-step guide will help you understand your birth chart, breaking down each house, sign, planet, and placement in its simplest terms. Use the guided writing prompts to record your thoughts, feelings, and observations to truly understand how these placements show up in your life. Whether you know your birth chart by heart, or barely understand your sun sign, this workbook will give you the tools you need to unlock your full potential. It's written in the stars! 6.35"" x 8.25"" Paperback book with 192 pages.",AzureGreen,Metaphysical Supplies,"Mind, Body, Soul & New Age,All Books & Journals,Sun & Stars,Esoteric Manuscripts,The Way to Resonance",FALSE,Title,Default Title,BASTGUI,453,shopify,0,deny,azuregreen,29.44,,TRUE,TRUE,,https://www.azuregreen.net/images/BASTGUI.jpg,1,Astrology Guided Workbook,FALSE,active
bastprob-astral-projection-for-beginner-by-edain-mccoy,Astral Projection for Beginner by Edain McCoy,"Astral Projection for Beginner by Edain McCoy Written for beginners, this book provides step-by-step directions for safe and proven astral projection techniques.",AzureGreen,Metaphysical Supplies,"Mind, Body, Soul & New Age,Books for Beginners,All Books & Journals,Esoteric Manuscripts,The Way to Resonance",TRUE,Title,Default Title,BASTPROB,317,shopify,1,deny,azuregreen,38.51,,TRUE,TRUE,,https://www.azuregreen.net/images/BASTPROB.JPG,1,Astral Projection for Beginner by Edain McCoy,FALSE,active
baurrea-aura-reading-for-beginners-by-richard-webster,Aura Reading for Beginners by Richard Webster,"Aura Reading for Beginners by Richard Webster Learn to feel, see, and read the aura. This easy-to-use guide gives valuable information on related topics such as aura balancing, chakras, spiritual healing, mood auras and aura protection.",AzureGreen,Metaphysical Supplies,"Mind, Body, Soul & New Age,Books for Beginners,All Books & Journals,Esoteric Manuscripts,The Way to Resonance",TRUE,Title,Default Title,BAURREA,226,shopify,7,deny,azuregreen,36.24,,TRUE,TRUE,,https://www.azuregreen.net/images/BAURREA.JPG,1,Aura Reading for Beginners by Richard Webster,FALSE,active
bawaosi-awakening-osiris-by-normandi-ellis,Awakening Osiris by Normandi Ellis,"A beautiful and engaging rendering of The Egyptian Book of the Dead that reveals the soul and spirit of Egypt. The Egyptian Book of the Dead is one of the oldest and greatest classics of Western spirituality. With Awakening Osiris, Ellis has transformed the ancient stories told through hieroglyphs for modern readers and approaches the Book of the Dead as a profound spiritual text capable of speaking to us today. These writings suggest that the divine realm and the human realm are not altogether separate: they remind us that the natural world, the substance of our lives, is fashioned from the stuff of gods. A 6"" x 9"" paperback book with 240 pages.",AzureGreen,Metaphysical Supplies,"Spirituality, Angels, & Spirits,All Books & Journals,Gods & Goddesses,Esoteric Manuscripts,The Way to Resonance",TRUE,Title,Default Title,BAWAOSI,317,shopify,7,deny,azuregreen,42.95,,TRUE,TRUE,,https://www.azuregreen.net/images/BAWAOSI.jpg,1,Awakening Osiris by Normandi Ellis,FALSE,active
