Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Status
dempora-empath-s-oracle-deck-book-by-digitalis-bax,Empath's Oracle (deck & book) by Digitalis & Bax,"This splendid oracle deck is uniquely designed to act as an empath's companion on the road to spiritual enlightenment. Hand-painted with acrylics, Konstantin Bax's mystical illustrations incorporate fluid lines, abstract figures, and dazzling hues that you can draw on for empathic wisdom. Featuring a companion book by bestselling author and empath Raven Digitalis, The Empath's Oracle helps you build a daily spiritual practice and live an empowered life. A 5"" x 6.5"" box with 40 cards and a 224-page guidebook.",AzureGreen,Metaphysical Supplies,"Oracle Decks & Reading Cards,Tarot & Oracle Deck Sets & Starter Kits,All Divination,All Tarot & Oracle Decks and Sets,Divination Tools,The Way to Resonance",TRUE,Title,Default Title,DEMPORA,635,shopify,14,deny,manual,35.09,,TRUE,TRUE,,https://www.azuregreen.net/images/DEMPORA.jpg,1,Empath's Oracle (deck & book) by Digitalis & Bax,FALSE,active
dethvis-ethereal-visions-tarot-by-matt-hughes,Ethereal Visions tarot by Matt Hughes,"In creating Ethereal Visions Tarot Matt Hughes has drawn inspiration from the Art Nouveau movement, adopting its distinctive style and meticulous approach to craftsmanship. The artist has also created two additional cards to supplement the traditional Major Arcana. Every detailed image in the 80-card deck is hand drawn and colored. Each card is illuminated with gold foil stamping, to elegant effect. Includes a 48-page booklet. Matt Hughes is a self-taught artist who focuses on the aesthetic approaches referred to today as ""The Golden Age of Illustration"". His style combines inspiration from the Art Nouveau, Pre-Raphaelite and Symbolist movements, to produce an artistic expression uniquely his own. Includes 80 cards and a 48 page guidebook.",AzureGreen,Metaphysical Supplies,"Tarot Decks,All Divination,All Tarot & Oracle Decks and Sets,Divination Tools,The Way to Resonance",TRUE,Title,Default Title,DETHVIS,476,shopify,16,deny,manual,33.73,,TRUE,TRUE,,https://www.azuregreen.net/images/DETHVIS.jpg,1,Ethereal Visions tarot by Matt Hughes,FALSE,active
dethvisl-ethereal-visions-luna-edition-by-matt-hughes,Ethereal Visions Luna edition by Matt Hughes,"In creating Ethereal Visions Tarot, Matt Hughes has drawn inspiration from the Art Nouveau movement, adopting its distinctive style and meticulous approach to craftsmanship. The artist created two additional cards to supplement the traditional Major Arcana. Every detailed image in the 80-card deck is hand drawn and colored. This Luna Edition includes revised artwork reflecting greater diversity and each card is illuminated with iridescent silver foil stamping. Includes a 140-page expanded, full-color guidebook.",AzureGreen,Metaphysical Supplies,"Tarot Decks,All Divination,All Tarot & Oracle Decks and Sets,Divination Tools,The Way to Resonance",TRUE,Title,Default Title,DETHVISL,498,shopify,7,deny,manual,33.73,,TRUE,TRUE,,https://www.azuregreen.net/images/DETHVISL.jpg,1,Ethereal Visions Luna edition by Matt Hughes,FALSE,active
devewit-everyday-witch-tarot-deck-book-by-deborah-blake,Everyday Witch tarot (deck & book) by Deborah Blake,"Black cats, pointed hats, and magic brooms, too! Favorable Fortunes for Curious Witches A fun, practical, easy-to-use tarot kit for every witch. Charming images pair with simple explanations to make this the go-to deck for anyone seeking to learn or practice the tarot. Based on the classic Rider-Waite deck but updated for the busy modern witch, this tarot has a whimsical air while still being dedicated to the serious job of providing answers to life�s tough questions. Author Deborah Blake brings her friendly, approachable style to a tarot experience that�s focused on the positive. Includes a 78 card deck with brilliant art and a full-color 264 page guidebook.",AzureGreen,Metaphysical Supplies,"Tarot Decks,Tarot & Oracle Deck Sets & Starter Kits,All Divination,All Tarot & Oracle Decks and Sets,Divination Tools,The Way to Resonance",TRUE,Title,Default Title,DEVEWIT,907,shopify,10,deny,manual,42.89,,TRUE,TRUE,,https://www.azuregreen.net/images/DEVEWIT.jpg,1,Everyday Witch tarot (deck & book) by Deborah Blake,FALSE,active
devewitm-everyday-witch-mini-by-deborah-blake,Everyday Witch Mini by Deborah Blake,"A fun, practical, mini tarot deck for every witch. Charming images pair with simple explanations to make this the go-to deck for anyone seeking to learn or practice the tarot. Based on the classic Rider-Waite deck but updated for the busy modern witch, this tarot has a whimsical air while still being dedicated to the serious job of providing answers to life's tough questions. This is the mini edition of the Everyday Witch Tarot (9780738746340). A 2"" x 3"" box.",AzureGreen,Metaphysical Supplies,"All Divination,All Tarot & Oracle Decks and Sets,Divination Tools,The Way to Resonance",TRUE,Title,Default Title,DEVEWITM,136,shopify,7,deny,manual,15.59,,TRUE,TRUE,,https://www.azuregreen.net/images/DEVEWITM.jpg,1,Everyday Witch Mini by Deborah Blake,FALSE,active
dfaefor-faery-forest-oracle-by-lucy-cavendishn,Faery Forest oracle by Lucy Cavendishn,"Enter a realm where the ancient ones dwell, whose guidance is needed now more than ever before. Let Lucy Cavendish guide you through the gateways, where the beings of the Faery Forest offer you their natural, wild wisdom. Discover Goddesses, Gods, Faeries, Witches, Wise Ones, and Wyzards; powerful ancients and allies devoted to nurturing the insights that lie deep within your heart, your ancestry, your soul. Featuring the lavish, sensual paintings of acclaimed faery artist Maxine Gadd, The Faery Forest is a feast for anyone seeking genuine guidance and healing.",AzureGreen,Metaphysical Supplies,"Oracle Decks & Reading Cards,All Divination,All Tarot & Oracle Decks and Sets,Divination Tools,The Way to Resonance",TRUE,Title,Default Title,DFAEFOR,498,shopify,5,deny,manual,33.73,,TRUE,TRUE,,https://www.azuregreen.net/images/DFAEFOR.jpg,1,Faery Forest oracle by Lucy Cavendishn,FALSE,active
dfailen-fairy-lenomand-oracle-by-katz-goodwin,Fairy Lenomand oracle by Katz & Goodwin,"The beautiful enchantment of Fairy Magic transforms this Lenormand deck into an experience of vibrant energies, possibilities, and limitless charm. Based on the original Lenormand system but updated with the lush fairy art of Davide Corsi, these cards will leave you breathless. Includes a guidebook by Marcus Katz and Tali Goodwin, authors of Learning Lenormand. A 4.2"" x 6"" box with 36 cards and 192 page guidebook.",AzureGreen,Metaphysical Supplies,"Oracle Decks & Reading Cards,All Divination,All Tarot & Oracle Decks and Sets,Divination Tools,The Way to Resonance",TRUE,Title,Default Title,DFAILEN,317,shopify,8,deny,manual,25.93,,TRUE,TRUE,,https://www.azuregreen.net/images/DFAILEN.jpg,1,Fairy Lenomand oracle by Katz & Goodwin,FALSE,active
dfaital-fairy-tale-tarot-by-lisa-hunt,Fairy Tale tarot by Lisa Hunt,"When we hear the words �once upon a time� we are magically transported to a faraway land of enchantment, a timeless realm of wondrous fantasies and infinite possibilities. Presenting mystical tales from around the world, Fairy Tale Tarot invites you to embrace the universal wisdom shared by enduring characters and timeless archetypes. Their struggles, successes and growth mirror our own experiences and teach us profound life lessons. When we see ourselves in the cards, we establish a greater awareness of ourselves. Includes 78 cards and 156-page illustrated guidebook.",AzureGreen,Metaphysical Supplies,"Tarot Decks,All Divination,All Tarot & Oracle Decks and Sets,Divination Tools,The Way to Resonance",TRUE,Title,Default Title,DFAITAL,408,shopify,0,deny,manual,31.14,,TRUE,TRUE,,https://www.azuregreen.net/images/DFAITAL.jpg,1,Fairy Tale tarot by Lisa Hunt,FALSE,active
dfaiwis-fairy-wisdom-oracle-by-brown-brown,Fairy Wisdom oracle by Brown & Brown,"Amy Brown's Fairy Wisdom Oracle provides a bridge to the elemental realms, beyond the world we perceive with our senses. These spiritual dimensions are inhabited by charming fairies, angels, dragons, elves and other elemental guides, who interconnect with us for mutual development. Their job is to help us on our spiritual paths and protect us along the way. Use the enchanting cards in Fairy Wisdom Oracle to get acquainted with this welcoming community of fairies, who always have your best interests at heart. The illustrated book provides spiritual guidance in the form of the fairy's wise messages, along with chants to help you focus your intentions and embrace a more positive attitude toward life. The Fairy Wisdom Oracle Deck &amp; Book Set was created by popular fantasy artist Amy Brown and her mother Nancy Brown, a metaphysical healer and writer. Both live in the Pacific Northwest. A 8"" x 6"" Deluxe set includes 64 cards and 140-page illustrated, hardback book.",AzureGreen,Metaphysical Supplies,"Oracle Decks & Reading Cards,All Divination,All Tarot & Oracle Decks and Sets,Divination Tools,The Way to Resonance",TRUE,Title,Default Title,DFAIWIS,725,shopify,5,deny,manual,32.44,,TRUE,TRUE,,https://www.azuregreen.net/images/DFAIWIS.jpg,1,Fairy Wisdom oracle by Brown & Brown,FALSE,active
dfancat-fantasy-cats-oracle-by-paolo-barbieri,Fantasy Cats oracle by Paolo Barbieri,"Master illustrator Paolo Barbieri strikes the perfect balance between elegant realism and ethereal fantasy to create this exquisite oracle deck. Use the cards to divine the surprises that the universe has in store for you as you enjoy the charming cats and subtly humorous scenes that flow from Barbieri's untamed imagination. The mystique of the feline has never been shown with such lush atmosphere and impeccable detail. When you enter the world of Barbieri's Fantasy Cat Oracle, you will want to linger and drink in the unmistakable sense of magic. A 4"" x 5 1/4"" box that includes 23 cards and and instructional booklet.",AzureGreen,Metaphysical Supplies,"Oracle Decks & Reading Cards,All Divination,All Tarot & Oracle Decks and Sets,Divination Tools,The Way to Resonance",TRUE,Title,Default Title,DFANCAT,272,shopify,3,deny,manual,25.93,,TRUE,TRUE,,https://www.azuregreen.net/images/DFANCAT.jpg,1,Fantasy Cats oracle by Paolo Barbieri,FALSE,active
