"NAME","DEPTCODE","NLEVEL","DISPLAY","UNDER"
"1 oz Espiritu                                     ","514","3",1,"405"
"100 pack Espiritu                                 ","511","4",0,"509"
"10mm & 12mm Beaded Bracelets                      ","1031","4",1,"605"
"16 oz Espiritu                                    ","513","3",1,"405"
"16 Pack Escential Essences                        ","952","4",1,"76"
"1618 Gold Granular Incense                        ","162","3",1,"490"
"1618 Gold herb 1oz packs                          ","161","2",1,"190"
"1618 Gold Herb 1oz packs A - M                    ","203","3",1,"161"
"1618 Gold Herb 1oz packs N - Z                    ","204","3",1,"161"
"1618 Gold Powder Incense                          ","37","2",1,"191"
"1lb (16oz) AzureGreen Oils                        ","1069","3",1,"1068"
"1oz AzureGreen Oils                               ","1071","3",1,"1068"
"2 dr Espiritu                                     ","515","3",1,"405"
"2dr AzureGreen Oils                               ","1070","3",1,"1068"
"4 Dram & 1oz Square bottle oils                   ","56","2",1,"15"
"4mm & 6mm Beaded Bracelets/Anklets                ","1029","4",1,"605"
"500 pack Espiritu                                 ","512","4",0,"509"
"7 & 14 Day (Solid Colors)                         ","234","3",1,"488"
"7 Day Jar Candles (purpose)                       ","115","3",1,"488"
"8mm Beaded Bracelets                              ","693","4",1,"605"
"95-100 Pack Escential Essences                    ","953","4",1,"76"
"Abundance, Luck, & Prosperity                     ","701","3",1,"698"
"Abundance, Prosperity, & Money                    ","1046","2",1,"1044"
"Addiction & Dependency Support                    ","841","3",0,"698"
"Air Fresheners                                    ","1052","2",1,"191"
"Alchemy                                           ","486","2",0,"27"
"All Books & Journals                              ","1038","2",1,"1"
"All Bumper Stickers, Posters & Stickers           ","1039","2",1,"186"
"All Candle Holders & Oil diffusers                ","1041","3",1,"102"
"All Candles & Candle Accessories                  ","1063","2",1,"7"
"All Crystal Journey Candles                       ","1054","3",1,"260"
"All Divination                                    ","393","2",1,"239"
"All Herb Accessories                              ","989","2",1,"190"
"All Incense                                       ","1036","3",1,"38"
"All Jewelry                                       ","396","2",1,"27"
"All Kits                                          ","1042","2",1,"1012"
"All Pendants & Charms                             ","124","3",1,"350"
"All Pendants & Necklaces                          ","14","3",1,"338"
"All Smudge Sticks & Burning Accessories           ","90","2",1,"372"
"All Tarot & Oracle Decks and Sets                 ","1058","2",1,"239"
"All Wall hangings, Chimes & Tapestries            ","1060","2",1,"202"
"Almanacs & Calendars                              ","634","1",1,"0"
"Altar Supplies                                    ","127","1",1,"0"
"Amulets & Talismans                               ","292","1",1,"0"
"Ancient Offerings 1/3 oz                          ","243","3",1,"490"
"Angels                                            ","1045","2",1,"1044"
"Animal                                            ","351","3",1,"350"
"Anklets                                           ","606","3",1,"40"
"Anxiety, Stress, Trauma & PTSD                    ","793","3",0,"698"
