"NUMBER","DEPTCODE"
"A4502A","292"
"A4502A","1045"
"A4502B","292"
"A4502B","1079"
"A4502C","250"
"A4502C","292"
"A4502CR","292"
"A4502CR","1051"
"A4502GO","292"
"A4502GO","1077"
"A4502H","250"
"A4502H","292"
"A4502HA","292"
"A4502HA","1080"
"A4502OM","292"
"A4502P","292"
"A4502ST","250"
"A4502ST","292"
"A4502ST","1049"
"A4502WH","292"
"A4502WI","292"
"A4506RA","292"
"A7MET","292"
"A7MET","345"
"A7MET","395"
"A7MET","1046"
"AACHG","14"
"AACHG","124"
"AACHG","292"
"AARR2","14"
"AARR2","124"
"AARR2","292"
"AARR2","345"
"AARRH","14"
"AARRH","124"
"AARRH","292"
"AARRH","345"
"AARRH","1051"
"ABRILF","14"
"ABRILF","124"
"ABRILF","292"
"ABRILF","363"
"ACCELD","292"
"ACCELD","337"
"ACCELD","1048"
"ACCELD","1078"
"ACCELM","292"
"ACCELM","337"
"ACCELM","1047"
"ACCELM","1067"
"ACDRAM","292"
"ACDRAM","337"
"ACDRAM","1047"
"ACDRAM","1078"
"ACELKN","96"
"ACELKN","292"
"ACELKN","337"
"ACELKN","352"
"ACELKN","689"
"ACGRE","292"
"ACGRE","337"
"ACGRE","1067"
"ACHIC","287"
"ACHIC","292"
"ACHIC","345"
"ACHIC","1013"
"ACHIC","1042"
"ACHIC","1046"
"ACHOW","292"
"ACHOW","345"
"ACHOW","1047"
"ACHOW","1048"
"ACNAT","292"
"ACNAT","337"
"ACNAT","1067"
"ACONDE","14"
"ACONDE","124"
"ACONDE","292"
"ACONDE","363"
"ACONP","14"
"ACONP","124"
"ACONP","292"
"ACONP","363"
"ACPENM","292"
"ACPENM","349"
"ACPENM","1047"
"ACPENM","1049"
"ACTHO","292"
"ACTHO","337"
"ACTHO","1051"
"ACTHO","1067"
"ACTRE","292"
"ACTRE","337"
"ACTRE","1067"
"ACTRI","292"
"ACTRI","337"
"ACTRI","341"
"ACTRI","345"
"ACTRIS","292"
"ACTRIS","337"
"ACUNI","292"
"ACUNI","345"
"ACUNI","1048"
"ACVENR","292"
"ACVENR","337"
"ACVENR","345"
"ACVENR","1050"
"ACVENR","1067"
"ACWIN","292"
"ACWIN","345"
"ACWIN","1048"
"ADESEN","292"
"ADISS","14"
"ADISS","124"
"ADISS","292"
"ADISS","345"
"ADISS","363"
"ADISS","396"
"ADISS","913"
"ADISS","1033"
"ADIST","14"
"ADIST","124"
"ADIST","292"
"ADIST","363"
"ADIVP","14"
"ADIVP","124"
"ADIVP","292"
"ADIVP","363"
"AEEPRO","250"
"AEEPRO","292"
"AEEPRO","345"
"AEEPRO","935"
"AEEPRO","1051"
"AEEPRO","1060"
"AEEPRO","1080"
"AEVIE","124"
"AEVIE","292"
"AEVIE","345"
"AEVIE","1080"
"AEVIEH","14"
"AEVIEH","124"
"AEVIEH","292"
"AEVIEH","345"
"AEVIEH","935"
"AEVIEH","1060"
"AEVIEH","1080"
"AFATH","14"
"AFATH","124"
"AFATH","250"
"AFATH","292"
"AFATH","345"
"AFATH","1080"
"AFOOG","142"
"AFOOG","292"
"AFOOG","1046"
"AGFER","292"
"AGFER","341"
"AGFER","1077"
"AGIVHP","14"
"AGIVHP","124"
"AGIVHP","292"
"AGIVHP","363"
"AGIVK","14"
"AGIVK","124"
"AGIVK","292"
"AGIVK","363"
"AGLOT","292"
"AGLOT","341"
"AGLOT","363"
"AGLOT","396"
"AGLOT","1077"
"AGLOT","1079"
"AGMOO","292"
"AGMOO","341"
"AGMOO","363"
"AGMOO","1077"
"AGPROS","292"
"AGPROS","341"
"AGPROS","363"
"AGPROS","1046"
"AGPROS","1077"
"AHCOM","292"
"AHCOM","337"
"AHCOM","1067"
"AHEARH","292"
"AHEARH","337"
"AHEARH","1067"
"AHPRO","292"
"AHPRO","337"
"AHPRO","1051"
"AHPRO","1067"
"AHSPIA","292"
"AHSPIA","337"
"AHSPIA","1067"
"AIDSS","14"
"AIDSS","124"
"AIDSS","292"
"AIDSS","363"
"AINDH","14"
"AINDH","124"
"AINDH","292"
"AINDH","345"
"AJOBT","16"
"AJOBT","292"
"AJOBT","913"
"AJOBT","1046"
"AKEY3","14"
"AKEY3","124"
"AKEY3","292"
"AKEY3","345"
"ALEGAH","124"
"ALEGAH","292"
"ALEGAH","345"
"ALUC8","14"
"ALUC8","124"
"ALUC8","292"
"ALUC8","363"
"ALUCC","124"
"ALUCC","292"
"ALUCC","337"
"ALUCC","345"
"ALUCC","1050"
"AMONT","292"
"AMONT","345"
"AMONT","1046"
"AMYSE","14"
"AMYSE","124"
"AMYSE","292"
"AMYSE","345"
"AMYSE","1051"
"AOCHA","14"
"AOCHA","124"
"AOCHA","292"
"AOCHA","345"
"APEAG","14"
"APEAG","124"
"APEAG","292"
"APEAG","345"
"APEAG","353"
"APEAG","1033"
"APEN","14"
"APEN","124"
"APEN","292"
"APEN","349"
"APEN","362"
"APEN","1049"
"APROA","14"
"APROA","124"
"APROA","292"
"APROA","1051"
"ARURU","125"
