"NUMBER","INETSDESC","UNITS","UNITWEIGHT","PRICE1","DELDATE","DISCONT","INETIMAGE","CANTSELL"
"A4502A              ","Angel pocket stone                                                                                                      ","141","0.03","3.95",,0,"A4502At.jpg                          ",0
"A4502B              ","Buddha pocket stone                                                                                                     ","326","0.03","3.95",,0,"A4502B.JPG                               ",0
"A4502C              ","Clover pocket stone                                                                                                     ","0","0.03","3.95",3/13/2026 0:00:00,0,"A4502C.jpg                               ",0
"A4502CR             ","Cross pocket stone                                                                                                      ","141","0.03","3.95",,0,"A4502CR.jpg                              ",0
"A4502GO             ","Goddess pocket stone                                                                                                    ","96","0.03","3.95",,0,"A4502GO.jpg                              ",0
"A4502H              ","Heart pocket stone                                                                                                      ","77","0.03","3.95",,0,"A4502H.jpg                               ",0
"A4502HA             ","Hamsa pocket stone                                                                                                      ","79","0.03","3.95",,0,"A4502HA.jpg                              ",0
"A4502OM             ","Om pocket stone                                                                                                         ","169","0.03","3.95",,0,"A4502OM.JPG                              ",0
"A4502P              ","Peace pocket stone                                                                                                      ","22","0.03","3.95",,0,"A4502P.JPG                               ",0
"A4502ST             ","Pentagram pocket stone                                                                                                  ","121","0.03","3.95",,0,"A4502ST.JPG                              ",0
"A4502WH             ","Witch's Hat pocket stone                                                                                                ","137","0.03","3.95",,0,"A4502WH.JPG                              ",0
"A4502WI             ","Witch on Broom pocket stone                                                                                             ","172","0.03","3.95",,0,"A4502WI.jpg                              ",0
"A4506RA             ","Raven mystical stone                                                                                                    ","7","0.03","7.95",,0,"A4506RA.jpg                              ",0
"A7MET               ","7 Metals amulet                                                                                                         ","0","0.02","3.95",1/1/2027 0:00:00,0,"A7MET.JPG                                ",0
"AACHG               ","Achievements of Goals amulet                                                                                            ","6","0.04","17.95",,0,"AACHGAA.jpg                              ",0
"AARR2               ","2 1/2"" Arrow amulet                                                                                                     ","0","0.005","2.95",,0,"AARR2.jpg                                ",0
"AARRH               ","1 1/4"" Arrowhead amulet                                                                                                 ","42","0.005","2.25",,0,"AARRH.jpg                                ",0
"ABRILF              ","Bring Luck & Friendship amulet                                                                                          ","9","0.03","15.95",,0,"ABRILF.jpg                               ",0
"ACCELD              ","Celestial Dragon amulet                                                                                                 ","42","0.03","10.95",,0,"ACCELDA.jpg                              ",0
"ACCELM              ","Celtic Moon Celestial amulet                                                                                            ","77","0.03","10.95",,0,"ACCELM.jpg                               ",0
"ACDRAM              ","Dragon Moon Celestial amulet                                                                                            ","11","0.03","10.95",,0,"ACDRAM.jpg                               ",0
"ACELKN              ","Celtic Knot & necklace                                                                                                  ","20","0.03","8.95",,0,"ACELKN.jpg                               ",0
"ACGRE               ","Celtic Greenman amulet                                                                                                  ","13","0.03","10.95",,0,"ACGRE.JPG                                ",0
"ACHIC               ","Chinese Coin w/ stones                                                                                                  ","14","0.05","14.95",,0,"ACHICA.jpg                               ",0
"ACHOW               ","Howling Moon Celestial amulet                                                                                           ","10","0.03","10.95",,0,"ACHOW.JPG                                ",0
"ACNAT               ","Nathair amulet                                                                                                          ","4","0.03","10",,0,"ACNAT.JPG                                ",0
"ACONDE              ","Confuse & Defeat Enemy amulet                                                                                           ","17","0.03","15.95",,0,"ACONDE.jpg                               ",0
"ACONP               ","Conjuration of Powers amulet                                                                                            ","6","0.05","17.95",,0,"ACONP.jpg                                ",0
"ACPENM              ","Pentacle Moon Celestial amulet                                                                                          ","6","0.03","10.95",,0,"ACPENM.jpg                               ",0
"ACTHO               ","Norse Pride talisman                                                                                                    ","10","0.05","10.95",3/13/2026 0:00:00,0,"ACTHO.JPG                                ",0
